3,18,A+,"",357236093887635,f,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,10,t,f
4,18,A,"",357236093912508,t,t,t,t,t,t,t,t,t,t,t,t,t,f,t,t,t,t,t,t,t,10,t,f
5,18,A+,"",359497087081381,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,2,t,f
6,18,A+,"",356085099103278,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,2,t,f
7,18,A+,"",356392101420322,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,2,t,f
8,18,A+,"",359498089888278,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,2,t,f
9,18,A+,"",359494082016561,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,2,t,f
10,18,A+,"",357238092778641,t,t,t,t,t,t,t,t,t,t,t,t,t,f,t,t,t,t,t,t,t,9,t,f
11,18,A+,"",357378095486774,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,6,t,f
12,18,A,"",357340096229991,t,t,t,t,t,t,t,t,f,t,t,t,t,f,t,t,t,t,t,t,t,5,t,f
13,18,A,"",357370095716144,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,6,t,f
14,18,A,26,337340097661440,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,5,f,f
15,18,A,"",356427104919994,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,8,t,f
16,18,A+,"",357332097979583,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,8,t,f
17,18,A+,"",356738085623671,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,4,t,f
18,18,A+,"",353059104202162,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,8,t,f
19,18,A,"",356738085092307,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,4,t,f
20,18,A,2,357335094720793,f,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,8,f,f
21,18,A+,"",353021092516417,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,3,t,f
22,18,A+,"",353019092606261,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,3,t,f
23,18,A,BATERIA,357238098394831,t,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,f,t,t,11,f,f
24,18,A,"",353061106877389,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,8,t,f
25,18,A,"",357236094283040,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,11,t,f
26,18,A,"",356449103521240,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,7,t,f
27,18,A+,"",353061105504547,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,7,t,f
28,18,A+,"",356432107131422,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,7,t,f
29,18,A+,"",356428100890949,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,f,7,t,f
30,18,A+,"",356423104001700,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,6,t,f
