5,1,HUAP10LCDNEG,Huawei P10 Lcd + tactil negro compatible (con funcion huella),33.84,494,387,0000004124,6.5,14.2,0.63
6,1,HUAP10LCDHQN,Huawei P10 Lcd + tactil + marco negro compatible HQ,49.75,494,387,0000004124,6.7,14.2,2.76
7,1,HUAP10LCDHQNE,Huawei P10 Lcd + tactil negro compatible HQ,33.27,494,387,0000004124,6.5,14.1,0.62
8,1,HUAP10LCDHQB,Huawei P10 Lcd + tactil + marco blanco compatible HQ,49.75,494,387,0000004124,6.7,14.2,2.76
9,1,2006728,iPhone 6S Plus Lcd + tactil negro compatible,82.44,401,393,0000001776,750,1500,3.4
10,1,IPHO11PROLCDNE,iPhone 11 Pro Lcd + tactil negro compatible (Hard OLED),46.88,649,724,0000001776,68.51,141.23,2.42
11,1,IPHO11LCDHQ,iPhone 11 Lcd + tactil negro compatible HQ (TFT Incell),59.93,573,550,0000001776,72.5,147.72,2.66
12,1,2006735,iPhone 6S Plus Lcd + tactil blanco compatible,80.46,401,393,0000001776,75,154,3.28
13,1,A2907HQ,iPhone XS Lcd + tactil negro (A2097) compatible HQ (Soft OLED),38.42,752,549,0000001776,68.45,141.23,1.88
14,1,IPHOXRLCDNEGCO,iPhone XR Lcd + tactil negro (A2105) compatible (TFT Incell),61.80,543,553,0000001776,72.54,147.8,2.69
15,1,IPHOXSMAXLCDNC,iPhone XS Max Lcd + tactil negro (A2101) compatible (TFT Incell),54.63,566,616,0000001776,75.08,154,2.35
16,1,A1901HQ,iPhone X Lcd + tactil negro (A1901) compatible HQ (Soft OLED),38.65,586,437,0000001776,68.68,141.36,1.95
17,1,IPHO11LCDNEG,iPhone 11 Lcd + tactil negro compatible (TFT Incell),63.91,673,664,0000001776,72.56,147.7,2.63
18,1,XMI9TLCDMA,Xiaomi Mi 9T / Mi 9T Pro Lcd + tactil + marco azul compatible,77.11,507,322,0000004124,74.42,156,8.42
19,1,IPHO11LCDCHQ,iPhone 11 Lcd + tactil + componentes negro compatible HQ (TFT Incell),63.97,573,550,0000001776,72.51,147.74,2.67
20,1,IPH8PPLCDCBHQ,iPhone 8 Plus Lcd + tactil + componentes negro compatible HQ,80.89,465,492,0000001776,75.37,155,3.24
21,1,IPH8PLCDBHQ,iPhone 8 Plus Lcd + tactil blanco compatible HQ,78.39,465,492,0000001776,75.24,155,3.29
22,1,IPH7LCDCWHQ,iPhone 7 Lcd + tactil + componentes blanco compatible HQ,56.49,579,612,0000001776,64.65,135.86,3.1
23,1,IPH7LCDCBHQ,iPhone 7 Lcd + tactil + componentes negro compatible HQ,55.89,579,612,0000001776,64.53,135.77,3.01
24,1,IPH8PLTB,iPhone 8 Plus Lcd + tactil blanco compatible,77.39,525,516,0000001776,75.17,155,3.27
25,1,IPH7LPCDCWHQ,iPhone 7 Plus Lcd + tactil + componentes blanco compatible HQ,79.57,470,486,0000001776,75.13,155,3.28
27,1,#HUAY7PRI19,Huawei Y7 Prime 2019 / Y7 2019 / Y7 Pro 2019 Lcd + tactil negro compatible,48.62,206,240,0000004124,72.76,154,2.77
28,1,HP30LITPAHQNE,Huawei P30 Lite / New Edition / Nova 4E Lcd + tactil negro compatible HQ,44.17,376,390,0000004124,69.82,148.78,2.07
